candidate_id,label,current_title,years_of_experience,top_skills,career_history,summary
CAND_0000002,2.664,Operations Manager,12.5,,Operations Manager @ Wipro (43m) | Operations Manager @ Wipro (14m) | Marketing Manager @ Acme Corp (54m),"Professional with 12.5+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000007,2.256,Civil Engineer,5.5,,Civil Engineer @ Wipro (38m) | Mechanical Engineer @ Initech (27m),"Professional with 5.5+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000084,0.936,Marketing Manager,10.6,,Marketing Manager @ Infosys (16m) | Operations Manager @ TCS (31m) | Project Manager @ Hooli (12m),"Professional with 10.6+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000164,2.016,Content Writer,3.7,Forecasting,Content Writer @ Wipro (44m),"Professional with 3.7+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000168,1.920,Sales Executive,10.7,Image Classification,Sales Executive @ Wayne Enterprises (34m) | HR Manager @ TCS (43m) | Graphic Designer @ TCS (20m),"Professional with 10.7+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000217,1.560,Mechanical Engineer,4.5,Speech Recognition,Mechanical Engineer @ Globex Inc (24m) | Mechanical Engineer @ Stark Industries (16m) | HR Manager @ Acme Corp (13m),"Professional with 4.5+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000239,2.592,Project Manager,4.4,,Project Manager @ Pied Piper (52m),"Professional with 4.4+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000251,1.056,Customer Support,11.4,,Customer Support @ Wayne Enterprises (28m) | Accountant @ TCS (32m) | Project Manager @ Pied Piper (24m),"Professional with 11.4+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000268,1.896,Graphic Designer,11.3,Computer Vision,Graphic Designer @ TCS (40m) | Mechanical Engineer @ Pied Piper (24m) | Graphic Designer @ Dunder Mifflin (16m),"Professional with 11.3+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000339,2.904,HR Manager,1.6,,HR Manager @ Dunder Mifflin (19m),"Professional with 1.6+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000450,1.608,Marketing Manager,3.5,,Marketing Manager @ Initech (42m),"Professional with 3.5+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000459,1.128,HR Manager,7.9,,HR Manager @ Wayne Enterprises (13m) | Mechanical Engineer @ Wipro (13m) | Customer Support @ TCS (24m),"Professional with 7.9+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000542,1.680,HR Manager,12.9,CNN,HR Manager @ TCS (42m) | HR Manager @ Wayne Enterprises (32m) | Business Analyst @ Dunder Mifflin (21m),"Professional with 12.9+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000557,1.968,Content Writer,4.9,,Content Writer @ Wayne Enterprises (24m) | HR Manager @ Wipro (34m),"Professional with 4.9+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000581,2.160,Graphic Designer,13.9,"Hugging Face Transformers, Recommendation Systems, Vector Search, Semantic Search, LLMs, Pinecone, Embeddings",Graphic Designer @ Dunder Mifflin (48m) | Accountant @ Stark Industries (51m) | Business Analyst @ Wayne Enterprises (43m),"Graphic Designer with 13.9+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities."
CAND_0000699,0.888,Business Analyst,4.7,"Hugging Face Transformers, RAG, LLMs, LangChain, Vector Search, Fine-tuning LLMs",Business Analyst @ Hooli (13m) | Mechanical Engineer @ Initech (43m),"Business Analyst with 4.7+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities."
CAND_0000718,2.640,QA Engineer,5.0,MLflow,QA Engineer @ Pied Piper (22m) | Mobile Developer @ Infosys (37m),"Software engineer with 5.0 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0000776,1.800,Graphic Designer,1.4,,Graphic Designer @ Pied Piper (16m),"Professional with 1.4+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000791,1.872,QA Engineer,4.0,,QA Engineer @ Capgemini (33m) | Software Engineer @ Acme Corp (14m),"Software engineer with 4.0 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0000799,1.200,Cloud Engineer,5.0,Milvus,Cloud Engineer @ Acme Corp (46m) | Mobile Developer @ Swiggy (13m),"Software engineer with 5.0 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most parts of a typical SaaS stack. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0000899,0.792,Full Stack Developer,4.1,"Diffusion Models, GANs, CNN",Full Stack Developer @ Infosys (27m) | Frontend Engineer @ Razorpay (21m),"Software engineer with 4.1 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. Most of my work is conventional backend engineering — APIs, databases, queues, deployments. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0000958,1.344,Customer Support,4.2,,Customer Support @ Globex Inc (22m) | Project Manager @ Stark Industries (12m) | Operations Manager @ Globex Inc (15m),"Professional with 4.2+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001021,0.624,Mechanical Engineer,12.1,ASR,Mechanical Engineer @ Hooli (15m) | Graphic Designer @ Acme Corp (26m) | Business Analyst @ Acme Corp (28m),"Professional with 12.1+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001082,2.880,Software Engineer,6.8,"CNN, Diffusion Models, GANs, Kubeflow",Software Engineer @ Mphasis (12m) | Software Engineer @ upGrad (46m) | Backend Engineer @ Unacademy (22m),"Software / data professional with 6.8 years of experience building data pipelines, backend systems, and analytics infrastructure. Started my career in backend engineering and gradually moved closer to data — first dashboards, then ETL, now some basic ML. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice."
CAND_0001154,2.712,Accountant,1.1,,Accountant @ Infosys (13m),"Professional with 1.1+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001195,2.952,Cloud Engineer,1.7,,Cloud Engineer @ Acme Corp (13m) | Frontend Engineer @ Dunder Mifflin (7m),"Software engineer with 1.7 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API development — Python/Django and Node.js mostly. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0001218,2.856,AI Specialist,6.4,"pgvector, Semantic Search, TTS",AI Specialist @ Nykaa (21m) | Senior Software Engineer (ML) @ Paytm (14m) | Computer Vision Engineer @ Tech Mahindra (18m),"Data scientist / ML engineer with 6.4 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems."
CAND_0001257,2.112,Java Developer,3.7,"Feature Engineering, BentoML, NLP",Java Developer @ Accenture (25m) | Java Developer @ Pied Piper (19m),"Software engineer with 3.7 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most parts of a typical SaaS stack. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0001292,1.416,Project Manager,2.5,,Project Manager @ Infosys (19m) | Project Manager @ Globex Inc (10m),"Professional with 2.5+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001294,1.488,Customer Support,1.9,,Customer Support @ Hooli (22m),"Professional with 1.9+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001355,0.696,Java Developer,8.2,Computer Vision,Java Developer @ Razorpay (40m) | Java Developer @ TCS (39m) | DevOps Engineer @ Initech (17m),"Software engineer with 8.2 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API development — Python/Django and Node.js mostly. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0001378,2.040,Software Engineer,4.8,"ASR, Image Classification, YOLO, OpenCV",Software Engineer @ Paytm (57m),"Software / data professional with 4.8 years of experience building data pipelines, backend systems, and analytics infrastructure. I'm a backend/data hybrid — Spark, Airflow, SQL warehouses are home territory; I'm building competence on the ML side. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice."
CAND_0001381,2.448,Operations Manager,4.7,,Operations Manager @ Pied Piper (43m) | Project Manager @ Acme Corp (13m),"Professional with 4.7+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001397,2.472,Mobile Developer,2.4,"BM25, TTS",Mobile Developer @ Razorpay (28m),"Software engineer with 2.4 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API development — Python/Django and Node.js mostly. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0001424,1.536,Business Analyst,1.9,,Business Analyst @ Dunder Mifflin (16m) | Accountant @ Wayne Enterprises (6m),"Professional with 1.9+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001503,2.784,Content Writer,13.1,,Content Writer @ Acme Corp (20m) | Customer Support @ Initech (19m) | HR Manager @ Globex Inc (30m),"Professional with 13.1+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001550,0.768,Marketing Manager,10.7,,Marketing Manager @ Wayne Enterprises (39m) | Content Writer @ Dunder Mifflin (25m) | Marketing Manager @ Initech (31m),"Professional with 10.7+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001586,2.304,Software Engineer,9.1,"Milvus, Forecasting, Reinforcement Learning, Recommendation Systems",Software Engineer @ Acme Corp (28m) | Frontend Engineer @ Flipkart (50m) | Full Stack Developer @ TCS (29m),"Software engineer with 9.1 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0001653,2.280,Business Analyst,11.0,,Business Analyst @ Acme Corp (49m) | Marketing Manager @ Infosys (51m) | Operations Manager @ Wayne Enterprises (18m),"Professional with 11.0+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001724,1.464,Frontend Engineer,2.1,"Object Detection, MLOps, LoRA",Frontend Engineer @ Acme Corp (25m),"Software engineer with 2.1 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0001753,2.808,Mechanical Engineer,8.9,ASR,Mechanical Engineer @ TCS (25m) | Civil Engineer @ Stark Industries (33m) | Marketing Manager @ TCS (48m),"Professional with 8.9+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001771,2.568,Software Engineer,7.1,Statistical Modeling,Software Engineer @ TCS (36m) | Full Stack Developer @ Swiggy (49m),"Software engineer with 7.1 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0001795,2.232,Customer Support,9.3,Object Detection,Customer Support @ Wayne Enterprises (26m) | Mechanical Engineer @ Pied Piper (54m) | Content Writer @ Infosys (31m),"Professional with 9.3+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001839,0.672,Project Manager,5.0,,Project Manager @ Globex Inc (32m) | Civil Engineer @ Globex Inc (13m) | Marketing Manager @ Wayne Enterprises (14m),"Professional with 5.0+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0002018,2.088,Marketing Manager,6.6,,Marketing Manager @ Pied Piper (18m) | Accountant @ Initech (37m) | Project Manager @ Wipro (23m),"Professional with 6.6+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0002019,2.400,Mobile Developer,5.8,"BentoML, TensorFlow",Mobile Developer @ Flipkart (14m) | Full Stack Developer @ Razorpay (20m) | Mobile Developer @ Mphasis (18m),"Software engineer with 5.8 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API development — Python/Django and Node.js mostly. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0002164,2.736,HR Manager,14.7,,HR Manager @ Infosys (21m) | Project Manager @ Infosys (48m) | Business Analyst @ Wipro (12m),"Professional with 14.7+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0002234,1.776,Sales Executive,2.6,,Sales Executive @ Wipro (31m),"Professional with 2.6+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0002255,1.032,Mechanical Engineer,6.2,,Mechanical Engineer @ Wayne Enterprises (48m) | Civil Engineer @ Stark Industries (20m) | Mechanical Engineer @ Pied Piper (6m),"Professional with 6.2+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
